120.993837267, 305.851807025, 125.712254201, 95.8706821809, 126.976363374, 321.45654973, 121.818300839, 109.140644328, 234.399410125, 711.476244072, 397.162929983, 1042.21883236, 107.641827997, 337.342702241, 140.781414751, 395.487422481, 
98.6669730993, 239.006937172, 134.425331656, 392.745699251, 82.4881315039, 142.491873955, 125.786488652, 321.594309854, 151.979713687, 403.70807976, 129.801868795, 437.321739236, 120.281207919, 233.504082595, 97.5985535868, 209.996369268, 
129.184462562, 390.847758343, 186.225074026, 497.947495074, 126.887772899, 310.210015583, 118.377317458, 195.516884586, 98.5463919134, 264.565735467, 122.896271325, 438.940370958, 134.78873642, 429.71962569, 155.285185712, 399.30191227, 
118.955543479, 369.378515654, 335.35620055, 787.651027053, 366.265621692, 881.337057649, 167.10275236, 594.066881395, 96.8210575228, 76.5442008238, 176.204573211, 525.368058545, 95.7284389164, 71.8090470278, 474.008061846, 1205.46910252, 
130.087761729, 333.223368536, 123.886324658, 335.307892599, 130.07294478, 322.580626535, 394.190851558, 953.601292839, 352.599230226, 869.867254047, 111.723879064, 101.920818126, 256.565358953, 704.250556279, 177.659490672, 380.755802435, 
135.136202797, 350.48105708, 207.652248118, 556.865549342, 160.506917688, 443.515664382, 521.560808627, 1228.42850725, 116.691542891, 319.031816719, 171.267752346, 366.834116202, 339.212725627, 882.037048189, 148.056329549, 478.176690398, 
115.411486319, 327.941653451, 405.997927666, 966.27398533, 150.364689882, 406.13390726, 241.16188405, 585.048668978, 122.665652085, 393.475390414, 128.266000757, 246.109499109, 111.30042672, 311.984505599, 148.136441681, 387.66568256, 
80.6784920359, 86.1654136956, 154.632461929, 429.01666546, 394.403556685, 917.474615011, 132.041097473, 451.254653657, 122.627325707, 400.930486499, 125.496257324, 93.9171846575, 122.138391481, 355.364503267, 127.608983273, 389.218351018, 
91.497495231, 270.546886522, 160.509475214, 446.254743977, 159.099681716, 317.324527409, 160.709670528, 417.528868668, 130.071176469, 271.637139005, 181.706313781, 467.070144066, 334.494038944, 872.868211984, 150.027156281, 337.274378497, 
107.294965341, 289.943220396, 521.837875159, 1225.11982372, 130.521229787, 323.218132064, 122.164918455, 338.759876816, 126.295023179, 325.922447003, 114.701851532, 99.2177877951, 126.235550974, 468.193273381, 160.86399298, 470.892560999, 
