195.195640059, 183.827343759, 65.7020146468, 63.0005348106, 70.9358244285, 58.428448572, 44.824226511, 32.1470934469, 34.4518562577, 27.9511842075, 44.42852051, 35.1385996108, 
43.5187769012, 42.6540392899, 53.7954993911, 57.8214133473, 95.1965037881, 71.9940266849, 63.6395036546, 53.8633106909, 86.6499002605, 64.4876820395, 170.439436869, 145.168295175, 
39.8204341578, 44.3212879338, 52.3498391562, 60.3787444705, 67.4106064425, 59.7775538614, 54.6924398596, 44.3278327822, 35.7632415151, 31.3730160317, 81.6404777794, 61.4364775776, 
47.362797233, 47.4826436847, 54.7390723606, 57.554223109, 33.6714207774, 25.3100177542, 45.6740252136, 32.5804601155, 34.9718385211, 26.0351971657, 216.795573841, 184.450289095, 
41.1706424284, 48.7081593915, 141.863958809, 143.422467225, 96.3451276701, 73.2184883698, 74.4997418132, 63.3808420851, 26.2195614867, 19.4250988689, 40.6479412207, 34.5739102388, 
49.8666892317, 49.7550018458, 46.2347843509, 47.0743484996, 33.7247055788, 30.6367399271, 44.783374775, 34.8863466721, 35.6101278144, 28.9322383796, 208.277891999, 175.359463284, 
42.4971128055, 46.3470673701, 151.284241653, 152.336538769, 34.5879777243, 27.117514884, 41.2954531174, 36.4368370885, 47.0267597873, 37.1639655, 38.4103755711, 35.2726881719, 
38.8032906311, 39.0902183295, 90.6618859638, 90.5372451227, 44.5082470818, 38.8979167922, 138.588262811, 122.619668355, 28.8138810665, 25.0662736765, 231.450878237, 197.462900418, 
43.4798680418, 47.2820830043, 51.5595733599, 52.2722452625, 41.5635006339, 36.6510102575, 54.8866341858, 48.4936021072, 40.0887136079, 31.1224235595, 86.5952241739, 63.4813495852, 
39.700732589, 44.9522314728, 135.664177534, 136.008703986, 35.4797682894, 29.0615757195, 43.9477241546, 33.8144720636, 169.710175155, 144.683372451, 44.8001342877, 31.5441771918, 
