52.9337222907, 59.9906983031, 54.1719080107, 96.4851462204, 106.842425555, 73.1154171459, 70.7403567935, 79.2877902563, 73.4370853092, 132.396874508, 141.611938134, 96.1263916032, 
81.1466409491, 64.0481191149, 82.9583640614, 176.935866713, 96.8150279879, 47.3872337565, 73.7043472517, 60.3718444528, 78.3306602887, 155.081949978, 82.9621263849, 40.6171920736, 
55.0483601645, 39.4489737743, 53.5867319612, 95.7908535311, 62.4225042922, 33.3734775836, 52.1165995522, 57.4683810543, 51.1172615624, 74.9319186081, 94.0487150036, 69.6820207122, 
80.2338880152, 65.7173840796, 82.9615115019, 177.121510069, 101.59302293, 49.8219244054, 54.4079443244, 61.905278858, 54.538466604, 99.1718589766, 110.676434574, 75.1275860686, 
62.7761326414, 48.5650052812, 65.200755007, 130.563769922, 75.6219393608, 37.6278452498, 76.0788541181, 54.5357280073, 80.6099870325, 159.732611472, 90.2977713112, 43.1486670467, 
67.2527965251, 52.4836699844, 73.4678461116, 150.942045418, 81.1077788889, 37.8308569626, 63.9380735429, 57.0552065236, 64.4033423594, 106.079756191, 81.8500227502, 48.4847612613, 
58.3745329032, 41.0499678139, 59.1697111391, 113.818092349, 67.3086175007, 33.3186032931, 67.3776575659, 44.9390100919, 72.0212721209, 135.885965345, 78.5065013684, 39.214984038, 
62.9050963066, 44.9957857859, 66.8567368709, 145.245822029, 79.080813781, 35.3830999228, 93.0304052919, 73.2441430851, 95.0980083273, 187.086721916, 118.293545569, 58.4421153206, 
58.5158879535, 45.2980600529, 61.5798818038, 124.441683937, 69.3779908271, 32.453874423, 91.0298856257, 68.9151312691, 93.634183677, 177.088708448, 103.227165219, 56.5154264029, 
63.6103119683, 53.4750190608, 69.0392197666, 148.337769924, 72.1389988116, 34.8761876546, 67.4956549879, 59.5551560778, 68.9645170656, 129.363711331, 74.4784137521, 38.7623068907, 
