145.910429127, 375.912348414, 85.8653949496, 75.8266532986, 75.4421977288, 131.851784686, 128.644312998, 375.507585799, 175.849821887, 507.090783941, 118.008196826, 410.60946896, 130.300547119, 99.7328168355, 94.9456861026, 202.034831598, 
74.4787063121, 162.383724997, 90.6588641666, 171.09057364, 131.339729283, 402.497041836, 111.641619797, 336.510091173, 211.922408761, 643.611331724, 170.163375735, 567.750325484, 303.105523284, 700.933700737, 229.59914718, 646.914019025, 
209.174259822, 581.863745153, 387.511078932, 941.400995457, 137.970805164, 325.209415335, 117.071887895, 330.224639158, 218.164721855, 620.788054365, 178.211504197, 420.216055584, 205.59970657, 543.632383141, 142.136094699, 397.631874739, 
129.555099363, 360.237359086, 136.207883362, 366.932530495, 139.705860239, 401.532219398, 240.680717793, 634.062523503, 171.240544823, 453.121209726, 108.366232312, 236.03329265, 108.679998977, 117.540914818, 150.947709596, 421.375088768, 
77.4679675431, 99.2567534091, 79.982612377, 192.361306277, 135.841219498, 415.445486539, 121.255758185, 378.228009727, 212.172553459, 582.223558384, 124.888431993, 317.06371551, 137.328445692, 563.896326149, 186.248502362, 473.105292498, 
121.040804687, 372.558912629, 120.025599968, 352.363339084, 123.702222738, 359.872883487, 391.796113026, 948.823998207, 105.472202562, 137.105866225, 218.861480414, 609.774224793, 161.385709251, 350.652064144, 509.459843357, 1231.93720897, 
160.744415906, 493.133159128, 387.961268248, 938.836060368, 139.597801251, 375.7703155, 124.384788193, 359.527101963, 284.203507225, 765.536086111, 199.327663406, 495.828768831, 127.743964038, 96.7047955976, 162.633118656, 485.68506482, 
87.1041815343, 77.1071243191, 160.670659473, 460.069969978, 102.017293476, 263.025572695, 92.7018593035, 227.164761831, 104.449786307, 119.287132649, 227.472623176, 696.745710022, 195.876864471, 504.11067502, 127.452505958, 95.9433006852, 
191.864035082, 509.832945905, 147.531048447, 314.62909058, 129.758907864, 374.453473713, 159.719084449, 493.243242582, 151.206325734, 422.900550194, 106.977423349, 108.707315109, 227.243162944, 525.164082416, 113.525602468, 95.7517711697, 
136.288464004, 385.224570869, 109.804474157, 345.414729995, 195.225443609, 551.970887039, 127.103911515, 340.358340033, 124.72507244, 372.856519221, 185.591887387, 503.391014358, 176.109225357, 586.732433803, 143.177180585, 542.29614936, 
